Date,S_J_exact,S_J_normalized,S_J_return,rolling_sharpe_60d,portfolio_return_aux,portfolio_wealth_aux,weight_risky_t,weight_risky_prevday
2000-08-14,14.002749610499402,1.1869716368960948,0.01914034418350175,3.9585200992677776,0.015075490000625448,0.9317050075049198,0.09113152319815122,0.09725052150718615
2000-08-15,13.652969630453143,1.1573218233225029,-0.02529665776732435,3.372796634119283,-0.008677849707994803,0.9236547912793157,0.10096451612490259,0.09113152319815122
2000-08-16,13.29072396977639,1.1266153308997868,-0.02689070729607977,2.9491113733386225,-0.016420585585390314,0.9086116850460456,0.10745397625474144,0.10096451612490259
2000-08-17,13.064152092566317,1.1074095035124991,-0.017194348304154637,2.830178080693343,-0.015877735633743374,0.8942989167816111,0.10817207164675299,0.10745397625474144
2000-08-18,13.21247314449017,1.1199822400596269,0.011289320897210115,2.3999413920636936,0.011390398189561592,0.9045435721335752,0.10740852027336872,0.10817207164675299
2000-08-21,13.11477364980677,1.1117005430819615,-0.007421964319493923,2.2843501338930072,-0.01164290255451755,0.8940731309087072,0.10596492128598475,0.10740852027336872
2000-08-22,12.60772326605719,1.0687193829006245,-0.039429770492045345,1.9671055300242024,-0.030374993765972323,0.8673239744832633,0.11502224495869537,0.10596492128598475
2000-08-23,12.852748237106848,1.0894894244322646,0.01924807526692098,2.1658407127397217,0.01914226549864097,0.8840864442517911,0.11001573718502819,0.11502224495869537
2000-08-24,12.73914453720051,1.0798595750536704,-0.00887815896310222,2.0447345304869415,-0.01152123907124066,0.8739591246270962,0.10435764302902127,0.11001573718502819
2000-08-25,11.639961204437144,0.9866850574745828,-0.0902353907574425,1.2993666757803433,-0.028984070463026312,0.8489918068722453,0.16359557228367613,0.10435764302902127
2000-08-28,11.725441269865447,0.9939309496033216,0.0073168392351050555,1.1680563468576826,0.011442063602924688,0.858761813049679,0.17290060269695987,0.16359557228367613
2000-08-29,11.561962963273487,0.9800733774428536,-0.014040293240422289,1.089958233633073,-0.007841004784747117,0.8520545876220081,0.1755214831349641,0.17290060269695987
2000-08-30,11.205371933541654,0.949846211347854,-0.03132735510489607,0.7672371169971794,-0.016672589508529376,0.8379664008668185,0.17323318841465796,0.1755214831349641
2000-08-31,10.90489666467611,0.9243758122010532,-0.02718137658486784,0.2976282442445196,-0.030796892634016446,0.8125529754345487,0.17009773637800701,0.17323318841465796
2000-09-01,11.090442520179737,0.9401039851636898,0.01687177954684131,0.4658339264742214,0.024992366659099957,0.8331164924536892,0.18252540115591664,0.17009773637800701
