antecedent,consequent,support,confidence,lambda,utility
UUDDD,H,0.0008074283407347598,0.14814814814814814,0.0,0.0008074283407347598
UUDDU,D,0.0026241421073879695,0.43333333333333335,0.0,0.0026241421073879695
UUDDU,U,0.0022204279370205892,0.36666666666666664,0.0,0.0022204279370205892
UUDDU,H,0.0012111425111021397,0.2,0.0,0.0012111425111021397
UUDDH,D,0.0004037141703673799,0.14285714285714285,0.0,0.0004037141703673799
UUDDH,U,0.0012111425111021397,0.42857142857142855,0.0,0.0012111425111021397
UUDDH,H,0.0012111425111021397,0.42857142857142855,0.0,0.0012111425111021397
UUDUD,D,0.0022204279370205892,0.3793103448275862,0.0,0.0022204279370205892
UUDUD,U,0.003229713362939039,0.5517241379310345,0.0,0.003229713362939039
UUDUD,H,0.0004037141703673799,0.06896551724137931,0.0,0.0004037141703673799
UUDUU,D,0.0022204279370205892,0.4230769230769231,0.0,0.0022204279370205892
UUDUU,U,0.0022204279370205892,0.4230769230769231,0.0,0.0022204279370205892
UUDUU,H,0.0008074283407347598,0.15384615384615385,0.0,0.0008074283407347598
UUDUH,D,0.0004037141703673799,0.2222222222222222,0.0,0.0004037141703673799
UUDUH,U,0.0006055712555510698,0.3333333333333333,0.0,0.0006055712555510698
UUDUH,H,0.0008074283407347598,0.4444444444444444,0.0,0.0008074283407347598
UUDHD,D,0.0006055712555510698,0.25,0.0,0.0006055712555510698
UUDHD,U,0.0008074283407347598,0.3333333333333333,0.0,0.0008074283407347598
UUDHD,H,0.0010092854259184498,0.4166666666666667,0.0,0.0010092854259184498
UUDHU,D,0.0020185708518368995,0.47619047619047616,0.0,0.0020185708518368995
UUDHU,U,0.0010092854259184498,0.23809523809523808,0.0,0.0010092854259184498
UUDHU,H,0.0012111425111021397,0.2857142857142857,0.0,0.0012111425111021397
UUDHH,D,0.0016148566814695195,0.4,0.0,0.0016148566814695195
UUDHH,U,0.0004037141703673799,0.1,0.0,0.0004037141703673799
UUDHH,H,0.0020185708518368995,0.5,0.0,0.0020185708518368995
UUUDD,D,0.0012111425111021397,0.2857142857142857,0.0,0.0012111425111021397
