,pJ_h_inf
2008-11-20,0.08822563419214813
2008-11-21,0.08807064340720186
2008-11-24,0.08733631374486502
2008-11-25,0.08733319075219842
2008-11-26,0.08722488324937301
2008-11-28,0.08761288154415832
2008-12-01,0.08764444407134249
2008-12-02,0.08768693054391812
2008-12-03,0.0871338309287483
2008-12-04,0.0875638183338861
2008-12-05,0.08760848081829874
2008-12-08,0.08752554406954308
2008-12-09,0.08764866224436076
2008-12-10,0.08771675113990844
2008-12-11,0.0876876520185583
2008-12-12,0.08753296483988965
2008-12-15,0.08758592388416293
2008-12-16,0.08722725749830587
2008-12-17,0.08736591096617424
2008-12-18,0.08734010805308584
2008-12-19,0.08736628805506019
2008-12-22,0.08738251111518154
2008-12-23,0.08749614075600355
2008-12-24,0.08749277371531625
2008-12-26,0.087502624203948
2008-12-29,0.08742651206244627
2008-12-30,0.08737847019330656
2008-12-31,0.08737319384623893
2009-01-02,0.08718771459360293
2009-01-05,0.08719844727118994
2009-01-06,0.08736781177878053
2009-01-07,0.08738380076371413
2009-01-08,0.08736517578910852
2009-01-09,0.0873113246033336
2009-01-12,0.08705081655929026
2009-01-13,0.08706990299110899
2009-01-14,0.08685427322840968
2009-01-15,0.0866492777348559
2009-01-16,0.08666829522838758
2009-01-20,0.08642552176823176
2009-01-21,0.08632964386654073
2009-01-22,0.0863213409649841
2009-01-23,0.08647408689778616
2009-01-26,0.08662126513209818
2009-01-27,0.08665222588636914
2009-01-28,0.08656116209116446
2009-01-29,0.08656140648236772
2009-01-30,0.08670713443901402
2009-02-02,0.08678727099654332
2009-02-03,0.08670161828367928
2009-02-04,0.08660035222959786
2009-02-05,0.08654192127186267
2009-02-06,0.08637322547575002
2009-02-09,0.0865624972529028
2009-02-10,0.08644374190512481
2009-02-11,0.08643776921572677
2009-02-12,0.08763809618521458
2009-02-13,0.0876418980304157
2009-02-17,0.08766555117748359
2009-02-18,0.087659781470655
2009-02-19,0.08772010251079766
2009-02-20,0.08778681613716825
2009-02-23,0.08771452032019103
2009-02-24,0.08748271330737359
2009-02-25,0.08743120369761014
2009-02-26,0.08749763725878475
2009-02-27,0.0875125045224376
2009-03-02,0.08740677237199533
2009-03-03,0.08748766604367024
2009-03-04,0.08733448960465628
2009-03-05,0.08782145181328799
2009-03-06,0.08829519950303102
2009-03-09,0.08827132833932007
2009-03-10,0.08798982470943124
2009-03-11,0.08787822938129634
2009-03-12,0.08799222687398078
2009-03-13,0.08803054225596806
2009-03-16,0.08802478544985794
2009-03-17,0.08789556967042696
2009-03-18,0.08790164869664141
2009-03-19,0.08796864085200705
2009-03-20,0.08799715305133685
2009-03-23,0.08762192731239281
2009-03-24,0.0875766112828153
2009-03-25,0.08764976952224307
2009-03-26,0.0876370071306304
2009-03-27,0.08765092468871656
2009-03-30,0.0878591127104414
2009-03-31,0.08784016833737503
2009-04-01,0.08792426658268429
2009-04-02,0.0878427830360462
2009-04-03,0.08788203985074652
2009-04-06,0.08788217113810773
2009-04-07,0.08782541847146717
2009-04-08,0.08780204505813721
2009-04-09,0.08777652943645335
2009-04-13,0.08776999950865434
2009-04-14,0.08774045021578655
2009-04-15,0.08790303766165564
2009-04-16,0.08787123567659495
2009-04-17,0.08787318359432336
2009-04-20,0.0879042630085376
2009-04-21,0.08814685621010056
2009-04-22,0.08815307569592543
2009-04-23,0.08814748440287869
2009-04-24,0.08813193453869721
2009-04-27,0.08812275592988446
2009-04-28,0.08812303872089652
2009-04-29,0.08818486816539899
2009-04-30,0.08818266891632602
2009-05-01,0.08816352741314043
2009-05-04,0.08818558122778333
2009-05-05,0.08817501472117276
2009-05-06,0.08818040627170808
2009-05-07,0.08813959574852535
2009-05-08,0.08814448047685768
2009-05-11,0.088152530154847
2009-05-12,0.08850999768879936
2009-05-13,0.08836414670367229
2009-05-14,0.08846521152187678
2009-05-15,0.08846243333645434
2009-05-18,0.08842195967141432
2009-05-19,0.08838310851271647
2009-05-20,0.08839336210454009
2009-05-21,0.0883560674691587
2009-05-22,0.08840196300528884
2009-05-26,0.08838986311385162
2009-05-27,0.08837781933759103
2009-05-28,0.08837593833576947
2009-05-29,0.08879473409679083
2009-06-01,0.0887505656579884
2009-06-02,0.08872095253624929
2009-06-03,0.0887661362023205
2009-06-04,0.08880853317314566
2009-06-05,0.08883456296574352
2009-06-08,0.08882784496580189
2009-06-09,0.08884288274693368
2009-06-10,0.0888679346781582
2009-06-11,0.08891872337394925
2009-06-12,0.08894210991040673
2009-06-15,0.08896117361485396
2009-06-16,0.08895157920968742
2009-06-17,0.08894936056021667
